"project","dependencies","start","end"
commons-tool,com.gpmall.commons-commons-support-None,2019-07-22 20:58:57+08:00,2019-07-22 20:58:57+08:00
user-provider,com.gpmall.user-user-api-0.0.1-SNAPSHOT,2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
user-sdk,org.springframework-spring-beans-None,2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
user-sdk,org.springframework-spring-web-None,2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
user-sdk,org.springframework-spring-webmvc-None,2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
user-sdk,javax.servlet-javax.servlet-api-None,2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
user-sdk,org.apache.dubbo-dubbo-None,2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
user-sdk,com.gpmall.user-user-api-0.0.1-SNAPSHOT,2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
user-sdk,com.alibaba-fastjson-None,2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
user-api,com.gpmall.commons-commons-core-1.0-SNAPSHOT,2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
user-api,com.gpmall.commons-commons-tool-1.0-SNAPSHOT,2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
gpmall-parent,org.springframework.boot-spring-boot-dependencies-${spring-boot.version},2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
gpmall-parent,org.apache.dubbo-dubbo-dependencies-zookeeper-${dubbo.version},2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
gpmall-parent,org.apache.dubbo-dubbo-dependencies-bom-${dubbo.version},2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
gpmall-parent,org.apache.dubbo-dubbo-${dubbo.version},2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
gpmall-parent,org.apache.dubbo-dubbo-spring-boot-starter-${dubbo-spring-boot.version},2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
gpmall-parent,org.mybatis.spring.boot-mybatis-spring-boot-starter-${mybatis.version},2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
gpmall-parent,com.alibaba-druid-${druid.version},2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
gpmall-parent,com.auth0-java-jwt-${jwt.version},2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
gpmall-parent,com.alibaba-fastjson-${fastjson.version},2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
gpmall-parent,org.mapstruct-mapstruct-jdk8-${mapstruct.version},2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
gpmall-parent,org.mapstruct-mapstruct-processor-${mapstruct.version},2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
gpmall-parent,joda-time-joda-time-${joda-time.version},2019-07-22 23:30:02+08:00,2020-01-15 12:15:16+08:00
gpmall-sso,com.gpmall.user-user-sdk-0.0.1-SNAPSHOT,2019-07-22 23:30:02+08:00,2019-07-23 10:10:55+08:00
gpmall-sso,com.gpmall.commons-commons-core-1.0-SNAPSHOT,2019-07-22 23:30:02+08:00,2019-07-23 10:10:55+08:00
commons-tool,com.gpmall.parent-commons-core-1.0-SNAPSHOT,2019-07-22 23:30:02+08:00,2019-07-23 10:10:55+08:00
gpmall-shopping,org.springframework.boot-spring-boot-starter-web-None,2019-07-23 19:54:38+08:00,2020-01-15 12:15:16+08:00
gpmall-shopping,org.projectlombok-lombok-None,2019-07-23 19:54:38+08:00,2020-01-15 12:15:16+08:00
gpmall-shopping,org.springframework.boot-spring-boot-starter-test-None,2019-07-23 19:54:38+08:00,2020-01-15 12:15:16+08:00
gpmall-shopping,org.apache.dubbo-dubbo-spring-boot-starter-None,2019-07-23 19:54:38+08:00,2020-01-15 12:15:16+08:00
gpmall-shopping,org.apache.dubbo-dubbo-None,2019-07-23 19:54:38+08:00,2020-01-15 12:15:16+08:00
gpmall-shopping,org.apache.zookeeper-zookeeper-None,2019-07-23 19:54:38+08:00,2020-01-15 12:15:16+08:00
gpmall-shopping,org.apache.curator-curator-framework-None,2019-07-23 19:54:38+08:00,2020-01-15 12:15:16+08:00
gpmall-shopping,org.apache.curator-curator-recipes-None,2019-07-23 19:54:38+08:00,2020-01-15 12:15:16+08:00
gpmall-shopping,com.gpmall.shopping-shopping-api-1.0-SNAPSHOT,2019-07-23 19:54:38+08:00,2020-01-15 12:15:16+08:00
gpmall-shopping,com.gpmall.commons-commons-core-1.0-SNAPSHOT,2019-07-23 19:54:38+08:00,2020-01-15 12:15:16+08:00
